CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
GEM,OC,NGC2158,OCL  468          ,06 07.4,+24 06,8.6,5.0,5.0,NGC,,,,,
GEM,OC,NGC2168,M35,06 09.0,+24 21,5.1,25.0,25.0,NGC,,,,,
GEM,OC,NGC2266,OCL  471          ,06 43.3,+26 58,9.5,5.0,5.0,NGC,,,,,
GEM,OC,NGC2355,2356,07 17.0,+13 45,9.7,8.0,8.0,NGC,,,,,
GEM,PN,NGC2371/2372,"THE ANT NEB.,DOUBLE BUBBLE NEB.,PEANUT NEB.,Dogbone Neb.",07 25.6,+29 29,13,1.23,0.9,NGC,,,,,
GEM,PN,NGC2392,PK197+17.1/Clown face Nebula/Eskimo Nebula,07 29.2,+20 55,8.6,0.78,0.72,NGC,,,,,
GEM,OC,NGC2420,TWINKLING COMET CLUSTER,07 38.4,+21 34,8.3,6.0,6.0,NGC,,,,,
HER,PN,IC4593,WHITE-EYED PEA NEBULA,16 11.7,+12 04,11,0.21,0.17,IC,4593,IC 4593,IC 4593,,4593
HER,GC,NGC6205,M13 HERCULES CLUST.(DARK LANES=THE PROPELLOR,16 41.7,+36 28,5.8,20.0,20.0,NGC,,,,,
HER,GAL,NGC6207,UGC 10521         ,16 43.1,+36 50,11.6,3.0,1.2,NGC,,,,,
HER,PN,NGC6210,TURTLE NEBULA,16 44.5,+23 48,9.7,0.33,0.22,NGC,,,,,
HER,GC,NGC6341,M92,17 17.1,+43 08,6.5,14.0,14.0,NGC,,,,,
HYA,OC,NGC2548,M48,08 13.7,-05 45,5.8,30.0,30.0,NGC,,,,,
HYA,PN,NGC2610,PK239+13.1       ,08 33.4,-16 09,13,0.83,0.78,NGC,,,,,
HYA,GAL,NGC2815,ESO 497-32        ,09 16.3,-23 38,11.9,3.5,1.1,NGC,,,,,
HYA,GAL,NGC3091,ESO 566-41        ,10 00.2,-19 38,11.1,3.0,1.9,NGC,,,,,
HYA,GAL,NGC3109,ESO 499-36        ,10 03.1,-26 10,9.9,19.7,3.4,NGC,,,,,
HYA,PN,NGC3242,THE GHOST OF JUPITER/The CBS Eye/DIAMOND NEB.,10 24.8,-18 39,8.6,0.67,0.58,NGC,,,,,
HYA,GAL,NGC3621,FRAME GALAXY,11 18.3,-32 49,8.5,9.8,4.6,NGC,,,,,
HYA,GC,NGC4590,M68,12 39.5,-26 45,7.3,11.0,11.0,NGC,,,,,
HYA,GAL,NGC5236,"M83 SEASHELL GALAXY, SOUTHERN PINWHEEL",13 37.0,-29 52,7.5,13.1,12.2,NGC,,,,,
